Country,Time,Total,"Total
Residents","Total
Residents
Central bank","Total
Residents
OMFIs","Total
Residents
Other financial institutions","Total
Residents
Other residents","Total
Non-residents"
belgium,1995,276344,211032,2217,158189,30667,19960,65311
belgium,1996,276440,215048,2318,160798,32361,19573,61392
belgium,1997,278493,213717,2418,157935,34137,19226,64776
belgium,1998,277255,206658,2487,154526,27987,21657,70597
belgium,1999,279531,193889,2997,140213,30541,20138,85642
belgium,2000,280960,173341,3095,121906,28403,19937,107618
belgium,2001,286055,164094,3047,113210,27694,20143,121962
belgium,2002,288111,152388,2865,103693,26023,19807,135722
belgium,2003,285867,145146,2863,98627,24985,18671,140721
belgium,2004,288419,143936,2853,95650,26122,19311,144482
belgium,2005,294975,144219,3220,94113,27510,19376,150757
belgium,2006,297495,142840,3459,92208,28819,18353,154655
belgium,2007,300064,128375,4584,77186,28857,17747,171689
belgium,2008,327683,136614,4891,80039,32836,18849,191069
belgium,2009,347224,153875,5163,85293,43801,19618,193349
belgium,2010,364132,167381,6319,92237,49635,19190,196752
belgium,2011,389107,208678,7437,105518,70343,25379,180429
belgium,2012,404752,217575,8365,108511,77634,23066,187177
belgium,2013,414432,210662,8320,103447,76035,22860,203771
belgium,2014,431159,197043,7059,91137,77634,21213,234116
belgium,2015,438233,204026,19161,88138,75230,21497,234207
belgium,2016,451327,209180,37252,82127,70726,19076,242147
belgium,2017,453828,218752,55468,76121,69445,17718,235076
belgium,2018,459061,215577,59848,71650,66560,17519,243484
belgium,2019,467160,206880,59922,64496,65638,16823,260280
