Country,Time,Total,"Total
Domestic","Total
Domestic
Non-financial corporations","Total
Domestic
Financial and insurance corporations","Total
Domestic
Financial and insurance corporations
Central Bank","Total
Domestic
Financial and insurance corporations
Other MFIs","Total
Domestic
Financial and insurance corporations
Money market funds","Total
Domestic
Financial and insurance corporations
Insurance corporations and pension funds","Total
Domestic
Financial and insurance corporations
Others","Total
Domestic
General Government","Total
Domestic
Households","Total
Domestic
NPISHs","Total
Rest of the world"
finnland,1997_4,"77,553","42,411","3,327","17,626",0,"11,238",0,"4,999","1,389","19,095","2,309",54,"35,142"
finnland,1998_1,"76,194","46,932","7,890","17,377",0,"10,516",0,"5,339","1,522","19,343","2,267",55,"29,262"
finnland,1998_2,"77,931","43,114","2,242","18,539",0,"9,710",0,"5,709","3,120","20,053","2,224",56,"34,817"
finnland,1998_3,"79,515","46,088","3,489","19,530",0,"10,054",0,"6,078","3,398","20,832","2,182",55,"33,427"
finnland,1998_4,"80,801","45,957","3,500","18,257",0,"9,848",0,"6,467","1,942","22,005","2,139",56,"34,844"
finnland,1999_1,"78,924","42,328","2,547","17,995",0,"9,612",37,"6,411","1,935","20,285","1,445",56,"36,596"
finnland,1999_2,"77,996","41,043","2,265","17,133",0,"9,078",51,"6,133","1,871","20,284","1,305",56,"36,953"
finnland,1999_3,"74,270","38,253","2,021","16,688",0,"9,032",64,"6,045","1,547","18,405","1,084",55,"36,017"
finnland,1999_4,"73,207","37,133","2,711","14,866",0,"7,437",77,"5,842","1,510","18,068","1,438",50,"36,074"
finnland,2000_1,"72,951","35,807","2,734","15,512",0,"7,769",155,"6,272","1,316","16,314","1,198",49,"37,144"
finnland,2000_2,"68,793","31,825","1,988","14,529",0,"7,073",221,"6,258",977,"14,439",820,49,"36,968"
finnland,2000_3,"69,311","30,263","2,125","14,621",0,"7,149",323,"6,251",898,"12,707",761,49,"39,048"
finnland,2000_4,"67,761","29,725","2,604","14,434",0,"6,476",389,"6,417","1,152","11,535","1,098",54,"38,036"
finnland,2001_1,"66,992","28,914","2,913","13,902",0,"6,032",431,"6,351","1,088","10,782","1,253",64,"38,078"
finnland,2001_2,"64,105","27,597","3,083","13,116",0,"5,252",474,"6,304","1,086","9,916","1,408",74,"36,508"
finnland,2001_3,"64,493","25,206","2,534","12,468",0,"4,840",545,"5,975","1,108","8,958","1,163",83,"39,287"
finnland,2001_4,"64,390","24,099","2,034","12,716",0,"5,696",510,"5,510","1,000","8,338",918,93,"40,291"
finnland,2002_1,"60,205","19,535","2,390","8,559",0,"3,184",554,"3,784","1,037","7,226","1,267",93,"40,670"
finnland,2002_2,"60,413","18,053","2,204","8,030",0,"3,007",547,"3,390","1,086","6,599","1,127",93,"42,360"
finnland,2002_3,"62,663","16,344","1,673","7,031",0,"3,010",575,"2,312","1,134","6,831",716,93,"46,319"
finnland,2002_4,"62,500","14,977","1,155","7,432",0,"2,464",342,"3,704",922,"5,974",325,91,"47,523"
finnland,2003_1,"64,257","15,458","1,798","6,994",0,"2,429",451,"3,099","1,015","5,970",605,91,"48,799"
finnland,2003_2,"66,544","15,088","1,639","7,120",0,"2,444",504,"3,137","1,035","5,744",494,91,"51,456"
finnland,2003_3,"64,770","14,449",929,"6,810",0,"2,475",327,"3,203",805,"6,292",327,91,"50,321"
finnland,2003_4,"61,893","14,193","1,281","6,415",0,"2,070",409,"3,017",919,"5,794",617,86,"47,700"
finnland,2004_1,"59,874","11,671","1,165","5,924",0,"1,892",433,"2,656",943,"3,958",538,86,"48,203"
finnland,2004_2,"61,429","11,751","1,061","5,789",0,"1,974",359,"2,534",922,"4,267",548,86,"49,678"
finnland,2004_3,"62,916","11,251",986,"5,739",0,"1,949",366,"2,500",924,"4,129",311,86,"51,665"
finnland,2004_4,"64,204","10,833","1,063","4,888",0,"1,488",210,"2,472",718,"4,450",370,62,"53,371"
finnland,2005_1,"59,458","10,828","1,041","4,883",0,"1,526",184,"2,467",706,"4,411",431,62,"48,630"
finnland,2005_2,"61,338","10,159",558,"4,880",0,"1,500",116,"2,500",764,"4,460",199,62,"51,179"
finnland,2005_3,"60,050","11,511","1,364","4,954",0,"1,588",113,"2,495",758,"4,446",685,62,"48,539"
finnland,2005_4,"61,820","11,358","1,611","5,030",0,"1,848",181,"2,166",835,"4,092",568,57,"50,462"
finnland,2006_1,"56,360","9,058",362,"4,778",0,"1,625",104,"2,195",854,"3,793",68,57,"47,302"
finnland,2006_2,"59,766","8,228",206,"4,447",0,"1,596",103,"2,115",633,"3,509",9,57,"51,538"
finnland,2006_3,"55,264","8,940",715,"4,537",145,"1,642",77,"2,123",550,"3,417",214,57,"46,324"
