time,TOTAL,"TOTAL
Residents","TOTAL
Residents
insurance companies","TOTAL
Residents
credit instituions","TOTAL
Residents
UCITS money funds (OPCVM)","TOTAL
Residents
other residents (central bank)","TOTAL
non-residents"
1998_4,"363,481","300,599","132,670","79,239",57430,"31,259",62882
1999_1,"370,284","321,777","148,484","78,130",47026,"48,137",48507
1999_2,"374,066","304,489","150,000","73,691",56858,"23,940",69576
1999_3,"384,702","306,223","155,804","76,940",53858,"19,620",78479
1999_4,"395,084","320,413","160,404","87,709",52151,"20,149",74671
2000_1,-,-,-,-,-,-,-
2000_2,"408,798","307,416","161,884","78,080",47012,"20,440",101382
2000_3,"414,699","301,901","163,391","75,061",44788,"18,661",112798
2000_4,"418,867","302,003","160,007","75,396",49007,"17,592",116864
2001_1,"418,480","290,844","157,349","69,049",48125,"16,321",127637
2001_2,"432,502","299,291","165,216","63,145",53630,"17,300",133211
2001_3,"439,840","301,731","166,260","67,735",50142,"17,594",138110
2001_4,"442,472","298,668","165,927","67,698",47344,"17,699",143803
2002_1,"462,031","308,637","168,179","76,235",46665,"17,557",153394
2002_2,"469,793","305,365","172,414","71,409",45570,"15,973",164428
2002_3,"480,408","307,461","168,143","76,865",48041,"14,412",172947
2002_4,"477,787","291,450","162,448","66,890",47779,"14,334",186337
2003_1,"498,004","293,823","164,341","69,721",44820,"14,940",204182
2003_2,"502,690","296,587","165,888","70,377",45242,"15,081",206103
2003_3,"520,207","301,720","171,668","72,829",41617,"15,606",218487
2003_4,"511,530","301,803","173,920","71,614",40922,"15,346",209727
2004_1,"530,972","302,654","169,911","79,646",42478,"10,619",228318
2004_2,"528,723","311,947","169,191","84,596",42298,"15,862",216777
2004_3,"550,864","319,501",170768,"82,630",49578,"16,526",231363
2004_4,"551,955","314,614","171,106","77,274",49676,"16,559",237341
2005_1,"579,599","295,595","185,472","40,572",52164,"17,388",284003
2005_2,"581,896","285,129","180,388","40,733",58190,"5,819",296767
2005_3,"597,845","286,966",179354,"41,849",53806,"11,957",310880
2005_4,"593,197","278,803","189,823","29,660",47456,"11,864",314394
2006_1,"616,976","289,979","185,093","49,358",49358,"6,170",326997
2006_2,"610,656","280,902",170984,"48,852",48852,"12,213",329754
2006_3,"623,267","280,470","174,515","43,629",49861,"12,465",342797
2006_4,"609,915","268,362","170,776","36,595",48793,"12,198",341552
2007_1,"633,741","266,171",164773,"44,362",44362,"12,675",367570
2007_2,"635,540","266,927",158885,"50,843",44488,"12,711",368613
2007_3,"647,277","265,383",155346,"45,309",51782,"12,946",381893
2007_4,"640,700","288,315","147,361","83,291",44849,"12,814",352385
2008_1,-,-,-,-,-,-,-
2008_2,"666,819","286,732","153,368","86,686",33341,"13,336",380087
2008_3,"682,748","286,754","136,550","81,930",47792,"20,482",395994
2008_4,"680,561","279,030",142918,"95,279",27222,"13,611",401531
2009_1,"694,981","291,892",138996,"111,197",27799,"13,900",403089
2009_2,"711,337","298,761",135154,"113,814",21340,"28,453",412575
2009_3,"714,683","278,726",142937,"100,056",21440,"14,294",435957
2009_4,"718,847","287,539",143769,"100,639",21565,"21,565",431308
2010_1,"758,978","288,412",136616,"113,847",22769,"15,180",470567
2010_2,"781,186","296,851",109366,"148,425",23436,"15,624",484335
2010_3,"801,397","312,545",160279,"112,196",24042,"16,028",488852
2010_4,"815,753","334,459",187623,"106,048",16315,"24,473",481294
2011_1,"851,595","391,734",195867,"127,739",25548,"42,580",459861
2011_2,"877,706","386,191",184318,"122,879",17554,"61,439",491516
2011_3,"880,995","378,828",193819,"123,339",17620,"44,050",502167
2011_4,"887,885","381,791",177577,"133,183",26637,"44,394",506095
2012_1,"921,983","414,892",202836,"129,078",18440,"64,539",507091
2012_2,"938,650","422,392",206503,"131,411",18773,"65,705",516257
2012_3,"945,964","416,224",208112,"122,975",18919,"66,217",529740
2012_4,"949,739","427,383",218440,"132,963",28492,"47,487",522357
2013_1,"999,527","439,792",229891,"129,938",19991,"59,972",559735
2013_2,"1,036,279","445,600",227981,"134,716",20726,"62,177",590679
2013_3,"1,054,604","432,388",242559,"116,006",21092,"52,730",622216
2013_4,"1,457,220","508,570",272500,"148,636",27687,"59,746",948650
2014_1,"1,454,246","514,803","271,944","162,876",26176,"53,807",939443
2014_2,"1,535,836","549,829","296,416","168,942",29181,"55,290",986006
2014_3,"1,519,180","537,790","284,087","170,148",27345,"56,210",981390
2014_4,"1,558,353","556,332",306996,"152,719",28050,"68,568",1002021
2015_1,"1,572,727","559,891",303536,"155,700",28309,"72,345",1012836
2015_2,"1,428,990","508,720","275,795","141,470",25722,"65,734",920270
2015_3,"1,429,348","531,717","268,717","134,359",25728,"102,913",897630
2015_4,"1,423,699","542,429","269,079","129,557",25627,"118,167",881270
2016_1,"1,611,199","623,534",296461,"148,230","25,779","153,064",987665
2016_2,"1,638,566","658,704",301496,"145,832","27,856","183,519",979863
2016_3,"1,636,208","652,847",294517,"125,988","27,816","204,526",983361
2016_4,"1,620,597","672,548",288466,"126,407","27,550","230,125",948049
2017_1,"1,673,910","708,064",302978,"130,565","25,109","249,413",965846
