time,TOTAL,"TOTAL
Residents","TOTAL
Residents
Central Bank","TOTAL
Residents
Credit Institutions","TOTAL
Residents
Credit Institutions
MFIs","TOTAL
Residents
Credit Institutions
other financial corporations","TOTAL
Residents
Social Security Funds","TOTAL
Residents
other domestic non banks","TOTAL
Non-residents"
1991_1,"1,094,941","867,041","11,997","592,200",,,"1,900","260,943","227,900"
1991_2,"1,113,223","882,423","11,845","598,400",,,"2,300","269,878","230,800"
1991_3,"1,127,423","879,723","12,927","596,800",,,"1,800","268,196","247,700"
1991_4,"1,170,959","899,459","24,823","611,000",,,"2,200","261,437","271,500"
1992_1,"1,194,241","918,341","20,850","618,000",,,"2,200","277,292","275,900"
1992_2,"1,203,315","927,415","20,981","622,400",,,"2,700","281,333","275,900"
1992_3,"1,234,361","915,061","21,103","626,800",,,"2,000","265,158","319,300"
1992_4,"1,342,491","1,011,591","31,340","716,500",,,"2,400","261,351","330,900"
1993_1,"1,373,481","1,007,981","21,295","733,900",,,"1,900","250,886","365,500"
1993_2,"1,407,945","1,015,245","21,485","747,200",,,"2,000","244,560","392,700"
1993_3,"1,441,583","1,032,683","21,674","765,900",,,"1,900","243,209","408,900"
1993_4,"1,506,431","1,066,431","26,170","800,800",,,"1,600","237,861","440,000"
1994_1,"1,584,748","1,143,648","21,788","865,500",,,"1,400","254,960","441,100"
1994_2,"1,583,114","1,153,314","21,866","875,800",,,"1,200","254,448","429,800"
1994_3,"1,599,455","1,176,855","22,000","878,900",,,"1,200","274,755","422,600"
1994_4,"1,659,632","1,229,732","25,009","915,600",,,"1,300","287,822","429,900"
1995_1,"1,860,369","1,343,569","22,086","984,700",,,"1,200","335,583","516,800"
1995_2,"1,873,030","1,334,830","22,185","966,500",,,"1,100","345,045","538,200"
1995_3,"1,933,314","1,386,914","22,285","1,010,000",,,"1,200","353,429","546,400"
1995_4,"1,993,476","1,426,476","23,102","1,049,300",,,"1,300","352,775","567,000"
1996_1,"2,011,089","1,446,089","22,289","1,080,900",,,"1,300","341,600","565,000"
1996_2,"2,024,944","1,446,244","22,351","1,083,300",,,"1,100","339,493","578,700"
1996_3,"2,058,495","1,454,595","22,442","1,085,800",,,"1,000","345,354","603,900"
1996_4,"2,126,321","1,502,021","22,418","1,130,600",,,800,"348,203","624,300"
1997_1,"2,156,993","1,509,393","21,817","1,169,800",,,800,"316,976","647,600"
1997_2,"2,175,388","1,508,488","21,932","1,158,500",,,700,"327,356","666,900"
1997_3,"2,194,934","1,512,734","21,930","1,185,200",,,700,"304,904","682,200"
1997_4,"2,215,905","1,508,105","22,057","1,169,200",,,700,"316,148","707,800"
1998_1,"2,246,359","1,533,159","21,900","1,213,900",,,600,"296,759","713,200"
1998_2,"2,249,170","1,536,770","22,049","1,220,500",,,600,"293,621","712,400"
1998_3,"2,266,703","1,507,003","22,006","1,210,000",,,500,"274,497","759,700"
1998_4,"2,280,174","1,504,874","22,047","1,179,700",,,550,"302,577","775,300"
1999_1,"1,178,104","772,338","11,232","595,604",,,256,"165,246","405,766"
1999_2,"1,180,560","778,882","11,302","594,326",,,256,"172,999","401,678"
1999_3,"1,190,623","776,823","11,295","591,002",,,256,"174,270","413,800"
1999_4,"1,199,987","781,023","11,354","595,962",,,281,"173,426","418,964"
2000_1,"1,250,440","725,001","11,282","611,922","544,335","67,587",,"101,781","525,454"
2000_2,"1,248,948","710,832","11,383","600,142","531,543","68,599",,"99,286","538,137"
2000_3,"1,259,414","710,713","11,370","602,524","532,914","69,610",,"96,791","548,729"
2000_4,"1,245,750","684,650","11,376","578,945","508,323","70,622",,"94,295","561,135"
2001_1,"1,232,324","705,993","11,215","612,026","539,423","72,603",,"82,711","526,371"
2001_2,"1,228,932","694,468","10,983","612,313","537,728","74,585",,"71,127","534,509"
2001_3,"1,244,462","681,658","10,567","611,497","534,931","76,566",,"59,543","562,854"
2001_4,"1,258,694","677,209","9,665","619,530","540,982","78,548",,"47,960","581,540"
2002_1,"1,280,417","696,062","7,742","642,124","559,790","82,334",,"46,133","584,419"
2002_2,"1,284,916","685,747","7,838","633,531","547,410","86,121",,"44,306","599,242"
2002_3,"1,303,452","689,861","8,076","639,224","548,536","90,688",,"42,479","613,673"
2002_4,"1,312,355","693,625","8,425","644,456","548,481","95,975",,"40,652","618,822"
2003_1,"1,344,124","718,548","8,474","669,845","564,553","105,292",,"40,126","625,679"
2003_2,"1,361,380","721,081","8,780","672,586","555,119","117,467",,"39,600","640,414"
2003_3,"1,384,283","736,827","8,899","688,726","561,051","127,675",,"39,074","647,584"
2003_4,"1,400,121","736,909","9,090","689,130","555,314","133,816",,"38,548","663,352"
2004_1,"1,443,269","767,636","9,074","720,064","582,700","137,364",,"38,337","675,794"
2004_2,"1,453,118","773,915","9,276","726,329","582,372","143,957",,"38,126","679,386"
2004_3,"1,471,718","779,765","9,292","732,353","588,906","143,447",,"37,916","692,157"
2004_4,"1,470,360","767,434","9,430","720,074","569,200","150,874",,"37,705","703,152"
2005_1,"1,498,379","780,365","9,360","733,380","575,879","157,501",,"37,380","718,259"
2005_2,"1,512,587","758,492","9,572","711,600","555,726","155,874",,"37,056","754,359"
2005_3,"1,533,884","772,033","9,628","725,389","556,916","168,473",,"36,732","762,135"
2005_4,"1,541,097","755,252","9,686","708,856","543,636","165,220",,"36,408","786,148"
2006_1,"1,560,442","756,337","9,699","710,143","537,568","172,575",,"36,173","804,426"
2006_2,"1,573,006","765,596","9,901","716,991","532,298","184,693",,"38,364","807,749"
2006_3,"1,590,844","750,496","9,949","701,656","510,597","191,059",,"38,533","840,705"
2006_4,"1,590,959","746,324","10,093","696,283","513,018","183,265",,"39,573","845,010"
2007_1,"1,594,086","758,396","10,098","707,476","512,794","194,682",,"40,428","836,083"
2007_2,"1,612,727","743,130","10,304","691,340","499,170","192,170",,"41,074","870,009"
2007_3,"1,593,442","730,996","10,347","675,377","488,844","186,533",,"44,842","862,877"
2007_4,"1,599,568","708,658","10,494","653,033","477,937","175,096",,"44,683","891,358"
2008_1,"1,618,151","720,767","10,451","666,954","490,645","176,309",,"42,897","897,850"
2008_2,"1,654,112","735,863","10,600","682,717","512,259","170,458",,"42,062","918,733"
