Time,TOTAL SECURITIES,"TOTAL SECURITIES
Domestic residents","TOTAL SECURITIES
Domestic residents
Non-financial corporations","TOTAL SECURITIES
Domestic residents
Financial corporations","TOTAL SECURITIES
Domestic residents
Financial corporations
Central Bank","TOTAL SECURITIES
Domestic residents
Financial corporations
OMFIs","TOTAL SECURITIES
Domestic residents
Financial corporations
Other financial intermediaries","TOTAL SECURITIES
Domestic residents
Financial corporations
Insurance and pension funds","TOTAL SECURITIES
Domestic residents
General government","TOTAL SECURITIES
Domestic residents
General government
  of which Central gov.","TOTAL SECURITIES
Domestic residents
General government
  of which Local gov.","TOTAL SECURITIES
Domestic residents
General government
of which Social Security Funds","TOTAL SECURITIES
Domestic residents
Households-NPISH","TOTAL SECURITIES
Rest of the world"
1997_4,"90,444","71,595",243,"46,066","7,812","31,352","5,626","1,276","9,005",0,0,"9,005","16,281","18,849"
1998_1,"93,273","77,276",245,"48,843","8,633","34,480","4,421","1,309","9,098",0,0,"9,098","19,090","15,996"
1998_2,"96,101","80,431",249,"48,871","7,848","35,049","4,619","1,355","9,191",0,0,"9,191","22,120","15,670"
1998_3,"98,930","80,669",253,"47,827","7,516","34,321","4,577","1,414","9,284",0,0,"9,284","23,305","18,260"
1998_4,"101,758","71,941",257,"50,233","7,883","36,477","4,424","1,449","9,377",0,0,"9,377","12,074","29,817"
1999_1,"103,619","73,126",258,"52,565","7,376","39,056","4,708","1,425","9,600",0,16,"9,584","10,703","30,493"
1999_2,"105,480","71,041",260,"51,984","7,587","37,773","5,149","1,475","9,807",0,16,"9,791","8,991","34,438"
1999_3,"107,340","69,084",262,"51,892","7,806","38,000","4,546","1,539","10,012",0,15,"9,997","6,917","38,257"
1999_4,"109,201","71,945",261,"55,340","8,137","41,583","4,043","1,577","10,220",0,16,"10,204","6,125","37,256"
2000_1,"114,651","72,793",264,"53,807","8,013","40,012","4,189","1,593","13,468",0,18,"13,449","5,254","41,858"
2000_2,"120,644","75,249",268,"56,624","8,355","42,408","4,247","1,614","14,261",0,18,"14,243","4,096","45,395"
2000_3,"123,896","77,882",272,"58,703","8,696","44,470","3,914","1,623","14,635",0,18,"14,617","4,272","46,014"
2000_4,"123,778","73,745",278,"56,920","7,882","43,218","4,194","1,626","11,630",0,18,"11,612","4,916","50,033"
2001_1,"126,485","76,488",281,"55,285","7,919","41,297","4,405","1,664","16,141",0,19,"16,122","4,781","49,998"
2001_2,"126,079","76,879",286,"56,037","8,039","41,837","4,450","1,710","16,379",0,19,"16,361","4,177","49,199"
2001_3,"128,454","78,952",289,"56,424","7,997","42,351","4,313","1,763","17,207",0,19,"17,188","5,033","49,502"
2001_4,"132,409","72,683",295,"55,159","7,837","41,099","4,389","1,835","12,378",0,18,"12,359","4,851","59,726"
2002_1,"132,115","75,899",304,"51,477","7,886","37,619","4,180","1,792","18,409",152,18,"18,238","5,710","56,216"
2002_2,"140,482","80,053",311,"52,366","7,883","38,730","4,000","1,753","21,320",156,18,"21,146","6,056","60,429"
2002_3,"149,738","83,570",323,"52,917","7,995","39,403","3,766","1,752","22,734",163,19,"22,552","7,597","66,168"
2002_4,"150,878","76,196",334,"51,860","8,089","38,212","3,720","1,839","16,002",165,18,"15,819","8,000","74,682"
2003_1,"154,331","79,394",347,"48,678","7,223","35,597","3,999","1,859","22,980",161,19,"22,800","7,389","74,937"
2003_2,"163,515","76,543",359,"44,046","7,040","31,169","4,114","1,723","25,242",165,18,"25,059","6,896","86,972"
2003_3,"162,679","77,004",364,"43,444","6,994","30,885","4,081","1,485","25,585",162,19,"25,404","7,611","85,675"
2003_4,"160,068","69,972",371,"43,959","6,873","31,553","3,767","1,766","18,436",159,18,"18,259","7,206","90,097"
2004_1,"170,716","66,801",376,"40,180","6,986","27,852","3,613","1,729","18,409",183,24,"18,202","7,836","103,915"
2004_2,"177,511","71,105",382,"43,816","6,879","31,264","3,797","1,876","19,022",178,30,"18,814","7,885","106,406"
2004_3,"185,356","73,221",387,"43,771","6,793","31,459","3,756","1,763","20,523",182,38,"20,302","8,541","112,135"
2004_4,"188,533","72,457",391,"40,960","6,679","27,795","4,442","2,044","22,628",187,47,"22,393","8,479","116,075"
2005_1,"183,747","74,877",397,"41,545","6,755","28,848","3,912","2,031","24,118","1,008",45,"23,065","8,816","108,871"
2005_2,"199,375","76,608",406,"42,497","6,537","30,213","3,819","1,928","25,622","1,046",48,"24,528","8,084","122,767"
2005_3,"206,442","76,949",409,"41,237","6,542","28,616","3,999","2,080","26,427","1,048",49,"25,331","8,877","129,493"
2005_4,"202,669","71,713",394,"41,510","3,735","31,735","3,630","2,410","24,148","1,032",49,"23,067","5,661","130,956"
2006_1,"217,679","72,328",386,"40,268","3,632","31,497","2,788","2,350","27,206","1,053",48,"26,105","4,468","145,351"
2006_2,"216,344","74,058",407,"41,310","3,610","32,954","2,357","2,388","27,137","1,027",50,"26,060","5,204","142,286"
2006_3,"223,472","72,853",416,"39,438","3,618","31,391","1,846","2,583","28,055","1,062",54,"26,939","4,944","150,619"
2006_4,"221,299","69,375",424,"37,887","3,738","29,906","1,681","2,562","26,237","1,044",55,"25,138","4,827","151,923"
2007_1,"231,841","66,108",430,"33,379","3,754","25,553","1,458","2,614","27,515","1,217",54,"26,244","4,784","165,732"
