time,TOTAL,"TOTAL
Residents","TOTAL
Residents
Central Bank","TOTAL
Residents
OMFIs","TOTAL
Residents
Other financial institutions","TOTAL
Residents
Other residents","TOTAL
Non-residents"
1997_1,"1,059,728","840,104","92,332","177,898","138,978","430,896","219,624"
1997_2,"1,065,202","825,975","87,694","164,252","151,149","422,880","239,227"
1997_3,"1,072,304","820,896","80,522","160,155","166,420","413,798","251,408"
1997_4,"1,062,530","808,420","78,516","155,559","181,015","393,330","254,110"
1998_1,"1,072,270","800,556","72,646","155,986","203,722","368,202","271,714"
1998_2,"1,087,533","779,959","68,518","156,564","195,466","359,411","307,574"
1998_3,"1,093,599","778,934","55,472","156,852","232,632","333,979","314,665"
1998_4,"1,083,284","757,259","62,175","152,855","247,942","294,286","326,025"
1999_1,"1,096,148","768,563","59,775","178,189","292,648","237,950","327,586"
1999_2,"1,117,781","766,323","58,816","175,397","295,718","236,392","351,458"
1999_3,"1,119,439","747,217","59,903","175,648","287,652","224,015","372,222"
1999_4,"1,091,504","705,321","57,902","166,111","263,808","217,501","386,183"
2000_1,"1,112,120","696,316","61,903","158,140","246,690","229,583","415,804"
2000_2,"1,130,877","688,896","62,902","152,332","248,310","225,352","441,981"
2000_3,"1,134,557","684,916","62,843","144,092","238,194","239,787","449,641"
2000_4,"1,111,070","660,449","62,398","135,692","246,731","215,629","450,621"
2001_1,"1,146,011","676,293","61,793","136,955","226,446","251,100","469,719"
2001_2,"1,164,344","685,652","63,237","141,418","224,007","256,990","478,691"
2001_3,"1,154,337","696,031","63,137","139,807","225,164","267,923","458,306"
2001_4,"1,144,148","705,922","64,283","138,521","236,907","266,210","438,226"
2002_1,"1,187,367","761,432","62,951","149,250","242,035","307,197","425,935"
2002_2,"1,194,187","756,108","63,957","141,704","234,683","315,763","438,079"
2002_3,"1,198,048","757,659","64,942","135,120","235,613","321,984","440,389"
2002_4,"1,147,415","692,665","41,100","127,620","234,553","289,393","454,750"
2003_1,"1,184,675","698,906","40,422","156,532","216,831","285,121","485,769"
2003_2,"1,192,431","683,026","41,069","160,979","222,996","257,983","509,405"
2003_3,"1,210,810","691,529","40,894","163,917","226,722","259,995","519,281"
2003_4,"1,169,643","661,328","49,072","160,799","217,174","234,283","508,315"
2004_1,"1,215,161","707,604","50,271","162,938","217,933","276,461","507,558"
2004_2,"1,244,512","724,637","51,506","167,539","210,026","295,565","519,875"
2004_3,"1,250,021","719,460","52,735","170,495","219,507","276,723","530,562"
2004_4,"1,208,994","685,459","53,937","155,345","225,404","250,773","523,535"
2005_1,"1,265,606","678,457","55,240","163,593","218,853","240,771","587,148"
2005_2,"1,295,807","679,552","56,520","163,467","216,916","242,648","616,255"
2005_3,"1,277,814","665,788","57,739","162,450","216,268","229,330","612,026"
2005_4,"1,246,607","645,510","59,012","159,046","215,485","211,967","601,096"
2006_1,"1,278,030","623,996","59,888","149,729","208,752","205,628","654,034"
2006_2,"1,315,096","638,912","61,288","157,954","209,060","210,611","676,184"
2006_3,"1,313,551","663,564","61,968","160,226","218,549","222,821","649,988"
2006_4,"1,286,130","635,941","62,760","159,361","205,300","208,520","650,189"
2007_1,"1,315,568","675,474","62,621","165,958","205,630","241,265","640,094"
2007_2,"1,346,887","682,727","64,134","168,388","203,653","246,553","664,160"
2007_3,"1,346,836","668,655","63,019","154,183","203,232","248,222","678,181"
2007_4,"1,318,119","671,068","60,307","160,044","192,520","258,197","647,051"
2008_1,"1,367,989","701,402","60,308","166,406","186,296","288,391","666,586"
2008_2,"1,366,537","663,594","57,999","164,861","181,737","258,997","702,943"
2008_3,"1,372,061","681,195","56,760","164,898","177,210","282,327","690,866"
2008_4,"1,383,850","724,475","58,354","174,913","187,265","303,944","659,374"
2009_1,"1,457,327","751,384","59,935","198,998","187,871","304,580","705,943"
2009_2,"1,461,424","732,455","59,444","201,264","199,873","271,874","728,969"
2009_3,"1,502,152","754,566","60,888","211,353","210,938","271,388","747,587"
2009_4,"1,470,052","736,615","60,960","205,265","236,852","233,539","733,437"
2010_1,"1,508,628","759,570","61,714","224,197","241,141","232,518","749,058"
2010_2,"1,531,903","803,913","63,116","251,212","272,846","216,738","727,990"
2010_3,"1,551,479","810,247","64,571","245,349","291,021","209,306","741,232"
2010_4,"1,548,525","830,031","65,820","252,588","288,388","223,235","718,494"
2011_1,"1,573,217","833,000","66,720","234,547","297,658","234,075","740,218"
2011_2,"1,603,582","862,484","68,325","248,270","294,781","251,109","741,098"
2011_3,"1,590,860","888,916","81,434","268,261","295,481","243,739","701,945"
2011_4,"1,604,197","932,249","89,399","265,408","289,394","288,050","671,948"
2012_1,"1,636,744","1,022,905","92,044","327,977","313,761","289,124","613,839"
2012_2,"1,657,805","1,065,175","93,634","354,286","324,347","292,909","592,630"
2012_3,"1,666,609","1,060,093","95,246","356,348","348,546","259,952","606,516"
2012_4,"1,654,201","1,042,403","96,588","354,471","351,690","239,655","611,798"
2013_1,"1,701,510","1,078,690","97,651","390,073","365,903","225,064","622,821"
2013_2,"1,742,868","1,128,907","98,293","426,266","374,668","229,680","613,961"
2013_3,"1,737,945","1,118,137","99,211","416,931","385,533","216,462","619,808"
2013_4,"1,735,506","1,116,663","99,423","402,147","395,855","219,238","618,842"
2014_1,"1,781,778","1,125,878","100,851","406,342","400,256","218,429","655,900"
2014_2,"1,829,358","1,141,429","101,166","403,244","412,557","224,462","687,929"
2014_3,"1,801,235","1,118,536","100,771","399,237","423,039","195,488","682,699"
2014_4,"1,793,492","1,120,576","101,988","401,818","432,088","184,683","672,916"
2015_1,"1,843,089","1,116,781","107,735","408,017","444,689","156,340","726,308"
2015_2,"1,857,695","1,130,405","126,873","405,082","421,003","177,446","727,290"
2015_3,"1,851,153","1,131,135","145,334","398,867","431,312","155,622","720,018"
2015_4,"1,823,558","1,128,448","165,025","387,224","449,075","127,125","695,110"
2016_1,"1,881,981","1,151,371","185,010","399,196","466,064","101,101","730,610"
2016_2,"1,910,297","1,199,661","216,134","415,173","455,425","112,929","710,636"
2016_3,"1,872,940","1,184,926","240,279","393,032","448,256","103,359","688,014"
2016_4,"1,874,324","1,197,675","268,081","374,979","451,039","103,576","676,649"
2017_1,"1,912,746","1,249,818","297,279","398,001","451,232","103,306","662,928"
2017_2,"1,928,852","1,250,804","320,458","369,603","436,116","124,626","678,048"
2017_3,"1,928,302","1,261,667","341,589","369,781","433,276","117,021","666,635"
2017_4,"1,913,400","1,232,390","363,272","333,522","428,949","106,648","681,010"
2018_1,"1,947,925","1,235,295","370,743","341,386","436,094","87,072","712,630"
2018_2,"1,971,076","1,306,722","380,244","387,486","444,416","94,577","664,354"
2018_3,"1,981,784","1,325,561","390,014","395,216","443,529","96,801","656,223"
2018_4,"1,963,346","1,333,458","396,872","384,082","445,943","106,561","629,887"
2019_1,"1,999,355","1,351,076","400,328","401,668","456,732","92,348","648,280"
2019_2,"2,028,595","1,348,308","400,107","397,454","449,742","101,005","680,287"
2019_3,"2,020,068","1,317,599","399,270","397,350","458,259","62,720","702,469"
2019_4,"2,009,306","1,299,148","398,560","379,552","458,904","62,133","710,158"
