time,TOTAL,"TOTAL
Domestic","TOTAL
Domestic
Banks (incl Central Bank)","TOTAL
Domestic
Central Bank","TOTAL
Domestic
Pension and insurance","TOTAL
Domestic
Other financial internediaries and auxiliaries","TOTAL
Domestic
Government","TOTAL
Domestic
Non-financial corporations","TOTAL
Domestic
Households","TOTAL
Non-residents"
1999_4,183316,96582,28990,,61835,4329,0,1050,378,86734
2000_1,193921,.,.,,.,.,0,.,.,.
2000_2,187102,.,.,,.,.,0,.,.,.
2000_3,187612,.,.,,.,.,0,.,.,.
2000_4,178653,81726,22136,,55214,2778,0,1224,374,96927
2001_1,181335,.,.,,.,.,0,.,.,.
2001_2,188073,.,.,,.,.,0,.,.,.
2001_3,185407,.,.,,.,.,0,.,.,.
2001_4,181733,69392,21169,,42893,2858,0,919,1553,112341
2002_1,184222,.,.,,.,.,0,.,.,.
2002_2,188318,.,.,,.,.,0,.,.,.
2002_3,190177,.,.,,.,.,0,.,.,.
2002_4,189994,63581,20898,,35932,3746,0,645,2360,126413
2003_1,197332,.,.,,.,.,0,.,.,.
2003_2,196900,.,.,,.,.,0,.,.,.
2003_3,205564,.,.,,.,.,0,.,.,.
2003_4,204311,65713,23277,,36242,3134,0,646,2414,138598
2004_1,210803,.,.,,.,.,0,.,.,.
2004_2,215522,.,.,,.,.,0,.,.,.
2004_3,220665,.,.,,.,.,0,.,.,.
2004_4,216229,62330,21568,,35429,2338,0,596,2399,153899
2005_1,214918,.,.,,.,.,0,.,.,.
2005_2,229302,.,.,,.,.,0,.,.,.
2005_3,224519,.,.,,.,.,0,.,.,.
2005_4,221904,52302,19458,,27685,2229,0,529,2401,169602
2006_1,221211,.,.,,.,.,0,.,.,.
2006_2,223474,.,.,,.,.,0,.,.,.
2006_3,222482,.,.,,.,.,0,.,.,.
2006_4,213337,48297,18155,,24974,2044,0,632,2492,165040
2007_1,217646,.,.,,.,.,0,.,.,.
2007_2,224491,.,.,,.,.,0,.,.,.
2007_3,222411,.,.,,.,.,0,.,.,.
2007_4,211051,46884,16314,,25096,1681,0,875,2918,164167
2008_1,217261,48331,18191,,24879,1639,0,750,2872,168930
2008_2,222773,46817,18662,,23050,1571,0,729,2805,175956
2008_3,224109,42717,15526,,21495,1669,0,772,3255,181392
2008_4,285836,50056,19504,,21983,4041,0,556,3972,235780
2009_1,277548,47319,16783,,22670,3468,0,489,3909,230229
2009_2,263841,49563,15954,,24102,5320,0,476,3711,214278
2009_3,275297,53832,17187,,27472,5405,0,474,3294,221465
2009_4,272290,53195,15784,,28422,5224,0,510,3255,219095
2010_1,278519,65019,26121,,30019,5478,0,340,3061,213500
2010_2,285630,73161,26611,,35330,7634,0,712,2874,212469
2010_3,291348,77619,28229,,38848,7095,0,880,2567,213729
2010_4,296749,79730,27636,,41852,7105,0,736,2401,217019
2011_1,297367,85116,28467,,45472,8009,0,867,2301,212251
2011_2,311233,92857,31094,,50114,8483,0,754,2412,218376
2011_3,311342,99092,28471,,58940,8842,0,669,2170,212250
2011_4,312172,104397,27900,,65000,8785,0,607,2105,207775
2012_1,316189,107099,30805,,64288,9284,0,729,1993,209090
2012_2,322519,111513,33417,,65770,9611,0,765,1950,211006
2012_3,325815,113077,32988,,67818,9869,0,644,1758,212738
2012_4,333852,117153,32217,,70282,12309,0,666,1679,216699
2013_1,338964,118179,35146,,70056,10701,0,712,1564,220785
2013_2,354423,123542,37632,,71728,11800,0,833,1549,230881
2013_3,356029,123888,36870,,73021,12014,0,594,1389,232141
2013_4,349820,129799,40618,,74103,13117,0,610,1351,220021
2014_1,353481,132166,42250,,75513,12614,0,481,1308,221315
2014_2,367183,136695,45287,,76776,12970,0,373,1289,230488
2014_3,362561,139439,46444,,78925,12612,0,278,1180,223122
2014_4,359517,139745,43865,3177,82229,12274,0,245,1132,219772
2015_1,358787,139173,48568,5555,75910,13416,0,262,1017,219614
2015_2,356641,145825,53529,11741,78447,12571,0,267,1011,210816
2015_3,355065,148789,57425,17265,77750,12408,0,267,939,206276
2015_4,349849,152340,61049,22790,77940,12144,0,277,930,197509
2016_1,348875,158006,65671,28949,79737,11456,0,240,902,190869
2016_2,346825,164268,71011,37225,81673,10532,0,171,881,182557
2016_3,339116,169329,78008,44289,80270,10065,0,152,834,169787
2016_4,342778,175771,85910,51251,78684,10192,0,164,821,167007
2017_1,336875,183269,93806,60006,78663,9587,0,413,800,153606
2017_2,335819,187209,97102,64501,79314,9327,0,679,787,148610
2017_3,329133,188617,101265,69392,76740,8885,0,960,767,140516
2017_4,333705,193883,104305,73070,78555,9085,0,1176,762,139822
2018_1,326284,194976,106133,74843,78546,8428,0,1146,723,131308
2018_2,326044,193645,105964,76107,77678,8175,0,1116,712,132399
2018_3,322061,185285,102801,78198,73448,7293,0,1070,673,136776
2018_4,324066,186038,102790,78942,74133,7418,0,1030,667,138028
2019_1,315653,178596,97370,76516,71539,8011,0,1015,661,137057
2019_2,322027,182186,96605,77097,75281,8182,0,1475,643,139841
2019_3,311474,176957,92260,74386,74024,8162,0,1909,602,134517
2019_4,311127,175736,95046,75924,71145,6914,0,2031,600,135391
