time,TOTAL,"TOTAL
Residents","TOTAL
Residents
non-financial corporations","TOTAL
Residents
financial institutions","TOTAL
Residents
financial institutions
Central Bank","TOTAL
Residents
financial institutions
OMFIs","TOTAL
Residents
financial institutions
Other financial institutions","TOTAL
Residents
General government","TOTAL
Residents
HHs and NPISHs","TOTAL
Rest of the world"
1995_1,"189,869","149,595","4,889","136,564","3,230","94,084","39,249",285,"7,857","40,274"
1995_2,"203,080","155,827","4,989","142,014","3,161","98,631","40,222",284,"8,540","47,253"
1995_3,"215,012","164,861","4,215","152,361","3,272","106,754","42,335",284,"8,001","50,152"
1995_4,"222,481","164,600","4,330","151,293","3,272","105,185","42,836",289,"8,689","57,881"
1996_1,"230,411","171,293","4,742","157,871","3,383","106,877","47,611",288,"8,393","59,117"
1996_2,"238,811","179,035","4,716","166,336","3,301","108,131","54,904",297,"7,686","59,776"
1996_3,"250,559","189,430","5,164","176,290","3,307","112,890","60,094",305,"7,670","61,129"
1996_4,"271,969","208,264","5,575","194,604","3,381","123,157","68,066",547,"7,538","63,705"
1997_1,"269,890","214,135","4,869","201,942","3,387","123,297","75,258",502,"6,822","55,754"
1997_2,"286,410","220,579","5,036","208,261","3,343","123,920","80,998",479,"6,803","65,831"
1997_3,"294,130","220,199","4,772","208,492","3,394","119,666","85,432",445,"6,491","73,931"
1997_4,"299,095","222,295","5,536","209,571","3,344","116,405","89,821",408,"6,781","76,800"
1998_1,"312,987","240,050","7,648","223,659","3,346","123,821","96,492",384,"8,359","72,936"
1998_2,"318,457","240,045","5,805","227,249","3,798","117,968","105,483",359,"6,632","78,411"
1998_3,"331,818","241,706","7,969","225,058","3,821","111,611","109,626",316,"8,362","90,112"
1998_4,"327,145","239,746","8,178","222,628","3,687","106,823","112,118",608,"8,332","87,399"
1999_1,"325,775","231,800","10,897","210,366","3,817","109,165","97,385",625,"9,912","93,975"
1999_2,"322,304","227,906","8,928","210,730","3,768","105,980","100,982",650,"7,598","94,398"
1999_3,"317,216","212,645","6,274","200,067","3,646","102,130","94,290",672,"5,631","104,571"
1999_4,"324,104","215,437","5,163","205,258","3,534","106,082","95,643",722,"4,294","108,667"
2000_1,"319,348","203,235","3,226","195,707","3,435","102,064","90,208",737,"3,564","116,114"
2000_2,"319,249","201,520","5,746","189,929","3,355","99,650","86,923",767,"5,078","117,729"
2000_3,"323,191","192,360","5,668","180,687","3,400","94,951","82,336",796,"5,209","130,831"
2000_4,"335,488","192,319","6,244","178,624","3,443","95,759","79,422","1,378","6,073","143,169"
2001_1,"331,373","184,419","5,217","173,581","3,377","98,765","71,439","1,349","4,271","146,955"
2001_2,"333,752","185,632","5,026","175,317","3,440","102,896","68,981","1,633","3,656","148,120"
2001_3,"339,458","185,070","6,486","173,078","3,485","102,618","66,975","1,632","3,874","154,388"
2001_4,"341,867","186,295","6,593","174,266","3,571","105,718","64,977","2,089","3,347","155,572"
2002_1,"333,878","178,850","5,053","169,003","3,473","103,663","61,867","2,027","2,766","155,028"
2002_2,"344,915","188,411","7,206","173,698","3,463","108,723","61,513","4,194","3,313","156,504"
2002_3,"354,121","187,278","7,332","171,045","3,752","107,661","59,632","5,244","3,657","166,843"
2002_4,"360,451","190,631","6,361","174,149","4,402","109,806","59,941","7,382","2,740","169,819"
2003_1,"358,313","195,021","6,086","177,970","5,148","115,127","57,695","7,937","3,029","163,292"
2003_2,"372,145","201,654","6,181","183,504","5,838","117,956","59,710","9,220","2,749","170,491"
2003_3,"362,287","201,221","5,630","181,649","6,505","117,409","57,735","11,493","2,450","161,066"
2003_4,"358,369","200,567","5,819","180,403","7,164","115,761","57,477","11,771","2,575","157,802"
2004_1,"370,406","199,417","7,162","173,429","7,999","109,273","56,157","16,122","2,705","170,989"
2004_2,"368,066","197,319","6,218","171,301","8,579","107,429","55,294","17,341","2,458","170,747"
2004_3,"368,401","193,294","5,957","165,565","8,911","102,134","54,521","19,311","2,460","175,107"
2004_4,"373,562","190,797","6,048","160,807","8,944","97,014","54,848","21,435","2,508","182,765"
2005_1,"372,758","189,044","8,311","156,540","9,365","92,966","54,209","21,540","2,653","183,714"
2005_2,"389,812","195,864","8,205","159,936","10,131","94,248","55,556","24,994","2,730","193,948"
2005_3,"383,593","197,605","9,098","160,108","11,444","92,181","56,482","25,417","2,982","185,988"
2005_4,"382,464","194,943","9,892","156,874","10,246","91,362","55,266","25,025","3,152","187,521"
2006_1,"372,182","185,515","12,159","144,584","9,385","79,710","55,489","23,607","5,165","186,667"
2006_2,"364,501","180,511","12,836","139,403","9,241","74,084","56,078","23,211","5,061","183,990"
2006_3,"372,641","184,124","13,038","141,666","9,326","74,536","57,804","24,087","5,333","188,517"
2006_4,"364,425","178,649","13,589","136,505","8,533","69,170","58,802","23,184","5,371","185,776"
2007_1,"366,938","178,290","13,325","134,464","9,177","67,994","57,293","24,878","5,624","188,648"
2007_2,"364,751","179,561","13,800","134,917","9,174","70,399","55,344","24,325","6,519","185,190"
2007_3,"358,769","180,561","11,968","134,797","9,321","70,896","54,580","26,492","7,304","178,208"
2007_4,"350,232","183,510","12,201","137,770","9,153","74,272","54,345","26,482","7,057","166,722"
2008_1,"346,320","181,532","12,484","132,694","9,986","72,630","50,078","29,428","6,927","164,788"
2008_2,"350,376","186,973","12,413","137,903","10,887","73,064","53,952","29,794","6,863","163,403"
2008_3,"370,346","190,070","12,936","136,283","11,770","71,854","52,659","34,258","6,593","180,276"
2008_4,"416,383","225,828","15,492","165,556","11,674","97,626","56,256","37,274","7,505","190,555"
2009_1,"448,909","248,628","15,867","187,104","12,864","115,877","58,363","38,888","6,769","200,281"
2009_2,"488,569","274,708","16,569","206,577","13,934","132,737","59,906","45,030","6,533","213,860"
2009_3,"516,190","288,814","15,887","216,185","14,448","136,034","65,703","50,180","6,561","227,376"
2009_4,"548,694","301,837","15,724","230,440","15,130","146,129","69,181","49,776","5,897","246,857"
2010_1,"566,969","306,616","16,066","231,895","16,294","143,008","72,593","53,538","5,117","260,353"
2010_2,"566,538","319,556","15,846","242,913","16,395","153,953","72,565","56,229","4,567","246,982"
2010_3,"589,920","336,285","16,194","252,499","17,769","152,266","82,463","61,921","5,671","253,635"
2010_4,"588,297","341,142","16,326","254,212","18,440","152,403","83,369","61,921","8,683","247,156"
2011_1,"630,272","372,961","17,880","278,984","19,883","161,925","97,176","65,915","10,183","257,310"
2011_2,"642,222","389,757","15,959","293,730","20,824","168,953","103,953","66,235","13,833","252,466"
2011_3,"650,293","390,387","16,340","292,321","25,475","157,209","109,637","66,095","15,630","259,906"
2011_4,"672,887","429,565","17,662","330,541","28,129","185,979","116,432","64,479","16,883","243,322"
2012_1,"708,172","492,912","19,217","389,456","28,866","242,981","117,609","68,553","15,686","215,260"
2012_2,"660,233","468,411","20,594","369,986","28,520","225,139","116,326","63,725","14,106","191,823"
2012_3,"697,017","489,068","23,120","384,222","30,887","231,888","121,447","67,317","14,408","207,949"
2012_4,"744,116","504,807","22,993","397,257","31,006","242,136","124,116","70,839","13,718","239,309"
2013_1,"806,316","555,527","23,525","433,329","30,959","268,334","134,036","84,702","13,970","250,789"
2013_2,"844,431","595,174","25,178","473,132","30,665","303,337","139,130","84,151","12,713","249,258"
2013_3,"866,098","592,426","27,411","473,018","32,127","296,649","144,241","81,088","10,909","273,672"
2013_4,"880,040","557,869","27,518","445,842","32,212","260,899","152,732","74,794","9,716","322,171"
2014_1,"937,435","595,783","30,434","477,148","33,107","278,210","165,831","78,621","9,579","341,652"
2014_2,"975,448","600,895","23,925","488,683","33,339","284,887","170,457","80,518","7,769","374,553"
2014_3,"1,001,557","632,030","25,607","523,616","33,743","314,948","174,925","75,180","7,627","369,527"
2014_4,"1,012,547","615,681","16,822","528,607","35,460","302,765","190,382","63,949","6,303","396,866"
2015_1,"1,053,702","609,389","11,473","524,855","40,395","293,288","191,171","68,003","5,058","444,313"
2015_2,"1,013,645","575,527","8,918","501,222","54,519","259,769","186,934","61,007","4,380","438,118"
2015_3,"1,040,768","592,059","7,732","519,630","69,285","265,049","185,296","60,772","3,925","448,709"
2015_4,"1,049,119","593,186","8,035","529,179","84,863","247,736","196,579","51,952","4,020","455,933"
2016_1,"1,082,466","621,281","6,669","558,557","100,688","257,768","200,100","52,831","3,225","461,185"
2016_2,"1,094,114","630,703","6,856","578,372","127,236","240,909","210,227","42,205","3,271","463,411"
2016_3,"1,113,913","646,632","6,928","600,553","146,122","238,356","216,075","36,893","2,259","467,281"
2016_4,"1,087,131","629,071","6,762","591,641","164,884","214,325","212,433","27,897","2,771","458,060"
2017_1,"1,091,321","637,606","2,524","607,257","185,279","214,728","207,571","25,348","2,477","453,715"
2017_2,"1,109,578","639,400","2,265","610,928","201,763","203,969","205,196","23,949","2,257","470,178"
2017_3,"1,107,802","642,901","2,288","618,730","214,673","203,527","200,530","20,329","1,554","464,901"
2017_4,"1,126,036","645,848","2,569","620,580","230,432","190,405","199,742","21,249","1,450","480,188"
2018_1,"1,164,963","658,536","1,737","634,436","235,549","192,688","206,199","20,744","1,619","506,428"
2018_2,"1,154,282","650,187","1,874","626,053","243,971","179,892","202,190","20,786","1,475","504,095"
2018_3,"1,156,472","643,886","1,918","622,709","249,990","176,694","196,025","17,230","2,029","512,586"
2018_4,"1,160,114","648,086","1,633","626,974","253,379","175,200","198,395","17,316","2,163","512,028"
2019_1,"1,210,796","683,116","1,698","658,352","251,765","206,998","199,589","21,088","1,978","527,679"
2019_2,"1,260,750","691,228","1,626","666,542","249,073","211,742","205,726","21,153","1,907","569,523"
2019_3,"1,276,289","693,131","1,702","671,544","246,006","218,621","206,916","18,032","1,854","583,158"
2019_4,"1,239,140","664,917",923,"643,183","246,567","202,649","193,967","18,960","1,851","574,224"
