time,TOTAL,"TOTAL
Domestic resident","TOTAL
Domestic resident
Private non-financial corporations","TOTAL
Domestic resident
MFI","TOTAL
Domestic resident
MFI
Central Bank","TOTAL
Domestic resident
MFI
OMFIs","TOTAL
Domestic resident
Other financial intermediaries and auxiliaries","TOTAL
Domestic resident
Insurance and pension funds","TOTAL
Domestic resident
Public Corporations","TOTAL
Domestic resident
Local government","TOTAL
Domestic resident
HHs and NPISHs","TOTAL
Domestic resident
Other resident","TOTAL
Rest of the World"
1998_2,330894,264384,1588,18805,1557,17248,10214,221120,3169,785,6255,2448,66510
1998_3,349657,279351,902,22165,1554,20611,13847,228873,3251,801,6095,3417,70306
1998_4,359271,285342,883,17234,1556,15678,16688,235662,3358,813,6094,4610,73929
1999_1,344222,273132,381,11629,1400,10229,12209,234477,3404,686,6376,3970,71090
1999_2,340383,271669,225,10490,1365,9125,9882,236485,3668,670,5888,4361,68714
1999_3,327585,267161,86,10664,1377,9287,11368,230384,3804,675,5959,4221,60424
1999_4,333981,273056,66,11748,1465,10283,6107,241080,3725,672,5572,4086,60925
2000_1,328934,267700,96,9507,1524,7983,7095,237470,3739,637,6130,3026,61234
2000_2,334835,276360,182,10177,1582,8595,14782,237938,3701,685,5765,3130,58475
2000_3,332795,273308,394,10189,1625,8564,21867,227836,3567,728,5623,3104,59487
2000_4,329197,266816,478,5457,1630,3827,24703,223848,3545,467,5145,3173,62381
2001_1,319011,261668,659,7958,1637,6321,27351,216381,3443,390,4418,1068,57343
2001_2,311321,250675,699,9365,1910,7455,17433,213120,3649,431,4971,1007,60646
2001_3,312539,252315,681,10787,1922,8865,21525,209769,3267,506,5281,499,60224
2001_4,300511,240648,312,3361,1923,1438,9758,218346,3131,660,4760,320,59863
2002_1,298663,243364,268,6510,1924,4586,10984,216743,2650,844,5220,145,55299
2002_2,300438,244706,388,2527,1880,647,8920,223246,2971,622,5828,204,55732
2002_3,309815,253676,398,345,1814,-1469,11878,231603,3001,461,5896,94,56139
2002_4,311141,254754,458,-1143,1634,-2777,11752,234299,3220,375,5684,109,56387
2003_1,320505,263057,405,2642,1821,821,15004,236204,3187,431,5641,-457,57448
2003_2,324715,264141,333,561,1756,-1195,13019,241508,3157,616,5407,-460,60574
2003_3,333425,271642,335,750,1795,-1045,18023,244178,3177,504,5122,-447,61783
2003_4,333164,267052,318,-5781,1786,-7567,11614,252624,3228,272,5334,-557,66112
2004_1,345235,275861,297,-7523,1867,-9390,13624,261238,3165,204,5520,-664,69374
2004_2,351687,274181,349,-5692,1902,-7594,8743,262246,3176,227,5079,53,77506
2004_3,369321,286883,324,-4068,1949,-6017,16940,264128,3304,190,5498,567,82438
2004_4,383548,294204,353,-1043,1810,-2853,15830,268212,3301,175,6336,1040,89344
2005_1,392771,298331,237,-4292,1869,-6161,23213,267955,3277,215,6483,1243,94440
2005_2,415430,314789,265,-1599,1840,-3439,34936,270441,2792,179,6658,1117,100641
2005_3,429364,316449,231,-1309,1930,-3239,33955,271066,2807,195,7395,2109,112915
2005_4,440343,320856,233,-2527,2135,-4662,29743,280873,2468,180,7576,2310,119487
2006_1,446329,323011,200,-4108,2225,-6333,35531,280043,698,525,7552,2570,123318
2006_2,453733,329238,233,-46,2294,-2340,43923,275581,567,318,5986,2676,124495
2006_3,468639,333251,212,-2629,2379,-5008,38285,288127,496,149,5516,3095,135388
2006_4,469036,323839,233,-7572,2337,-9909,30669,290457,496,249,5902,3405,145197
2007_1,464014,321338,159,-16337,2398,-18735,34788,292091,496,146,6726,3269,142676
2007_2,467104,311310,317,-9829,2396,-12225,30307,279915,496,168,6343,3593,155794
2007_3,490376,330175,554,-8023,2399,-10422,39688,287908,496,191,5253,4108,160201
2007_4,513511,342392,603,-5459,2423,-7882,43280,292900,713,124,6109,4122,171119
2008_1,520164,347204,370,-3139,3300,-6439,46163,293392,713,147,5209,4349,172960
2008_2,527277,346291,734,-3046,4659,-7705,60754,276340,822,222,5717,4748,180986
2008_3,556983,353121,812,2683,6064,-3381,57879,278068,822,179,7347,5331,203862
2008_4,645307,427371,859,24348,7116,17232,99343,288470,1200,168,6522,6461,217936
2009_1,666916,438441,382,55383,23490,31893,92374,278840,1300,182,5003,4977,228475
2009_2,712978,493461,657,132448,106683,25765,67258,281071,1300,165,5350,5212,219517
2009_3,794504,565614,972,195466,164466,31000,51796,301700,1300,162,6126,8092,228890
2009_4,822022,586493,1329,226185,190269,35916,44644,297424,1300,197,7048,8366,235529
2010_1,875128,617872,1420,249691,200800,48891,51191,299818,1300,187,6496,7769,257256
2010_2,944453,655575,2059,273925,209417,64508,50898,314187,1300,228,5818,7160,288878
2010_3,1010837,693629,1854,284060,215392,68668,66544,327916,1300,221,4235,7499,317208
2010_4,1021864,698322,2108,288071,208536,79535,72842,321924,1300,224,4821,7032,323542
2011_1,1018972,702589,2299,295182,203992,91190,68782,323617,1254,214,4169,7072,316383
