time,TOTAL,"TOTAL
Residents","TOTAL
Residents
FED","TOTAL
Residents
Intragovernmental holdings","TOTAL
Residents
Depository institution","TOTAL
Residents
Pension funds","TOTAL
Residents
Pension funds
Private","TOTAL
Residents
Pension funds
State  and  local  governments","TOTAL
Residents
Insurance companies","TOTAL
Residents
Mutual  funds","TOTAL
Residents
State  and  local  governments","TOTAL
Residents
U.S.  savings  bonds","TOTAL
Residents
Other  investors","TOTAL
Foreign  and  international"
2002_4,6405700,5170100,666665,2720535,222600,312700,153800,158900,139700,281000,354700,194900,277400,1235600
2003_1,6460800,5185600,640891,2749909,153600,327900,165800,162100,139500,296600,350000,196900,330200,1275200
2003_2,6670100,5298200,651993,2853407,145400,331500,170200,161300,138700,302300,347900,199200,327800,1371900
2003_3,6783200,5339900,655993,2859307,146800,323200,167700,155500,137400,287100,357700,201600,371000,1443300
2003_4,6998000,5474900,666665,2953435,153100,320800,172200,148600,136500,280900,364200,203900,395400,1523100
2004_1,7131100,5461100,674084,2954216,162800,313400,169800,143600,172400,280800,374100,204500,324800,1670000
2004_2,7274300,5538900,687391,3055409,158600,308200,173300,134900,174600,258700,381200,204600,310100,1735400
2004_3,7379100,5584600,698617,3073383,138500,314800,174000,140800,182900,255000,381700,204200,335500,1794500
2004_4,7596100,5746800,717813,3187787,125000,324700,173700,151000,188500,254100,389100,204500,355400,1849300
2005_1,7776900,5824700,717536,3204064,141800,335300,177300,158000,193300,261100,412000,204200,355500,1952200
2005_2,7836500,5959000,726022,3307478,126900,352300,181000,171300,195000,248700,444000,204200,354400,1877500
2005_3,7932700,6003100,736082,3331718,125300,349000,184200,164800,200700,244700,463700,203600,348200,1929600
2005_4,8170400,6136500,744210,3455590,117100,338700,184900,153800,202300,251300,475000,205200,347000,2033900
2006_1,8371200,6289100,758529,3498671,113000,269700,116800,152900,200300,254200,515700,206000,473000,2082100
2006_2,8420000,6442200,766349,3622851,119500,267300,117700,149600,196100,243400,531600,205200,490100,1977800
2006_3,8507000,6481700,768915,3663885,113600,275100,125800,149300,196800,234200,542300,203700,483200,2025300
2006_4,8680200,6577100,778938,3779162,114800,293200,139800,153400,197900,248200,570500,202400,392000,2103100
2007_1,8849700,6654900,780890,3795710,119800,296000,139700,156300,185400,263200,608300,200300,405200,2194800
2007_2,8867700,6675700,790497,3924603,110400,302200,139900,162300,168900,257600,637800,198600,285100,2192000
2007_3,9007700,6772400,779633,3958367,119700,293700,140500,153200,155100,292700,643100,197100,332900,2235300
2007_4,9229200,6876000,754612,4078888,129800,285200,141000,144200,141900,343500,647800,196500,297800,2353200
