"country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"belgium"	"1995-01-01"	"Total"	"Residents"	"Central bank"	""	"2217"
"belgium"	"1995-01-01"	"Total"	"Residents"	"OMFIs"	""	"158189"
"belgium"	"1995-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"30667"
"belgium"	"1995-01-01"	"Total"	"Residents"	"Other residents"	""	"19960"
"belgium"	"1995-01-01"	"Total"	"Non-residents"	""	""	"65311"
"belgium"	"1996-01-01"	"Total"	"Residents"	"Central bank"	""	"2318"
"belgium"	"1996-01-01"	"Total"	"Residents"	"OMFIs"	""	"160798"
"belgium"	"1996-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"32361"
"belgium"	"1996-01-01"	"Total"	"Residents"	"Other residents"	""	"19573"
"belgium"	"1996-01-01"	"Total"	"Non-residents"	""	""	"61392"
"belgium"	"1997-01-01"	"Total"	"Residents"	"Central bank"	""	"2418"
"belgium"	"1997-01-01"	"Total"	"Residents"	"OMFIs"	""	"157935"
"belgium"	"1997-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"34137"
"belgium"	"1997-01-01"	"Total"	"Residents"	"Other residents"	""	"19226"
"belgium"	"1997-01-01"	"Total"	"Non-residents"	""	""	"64776"
"belgium"	"1998-01-01"	"Total"	"Residents"	"Central bank"	""	"2487"
"belgium"	"1998-01-01"	"Total"	"Residents"	"OMFIs"	""	"154526"
"belgium"	"1998-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"27987"
"belgium"	"1998-01-01"	"Total"	"Residents"	"Other residents"	""	"21657"
"belgium"	"1998-01-01"	"Total"	"Non-residents"	""	""	"70597"
"belgium"	"1999-01-01"	"Total"	"Residents"	"Central bank"	""	"2997"
"belgium"	"1999-01-01"	"Total"	"Residents"	"OMFIs"	""	"140213"
"belgium"	"1999-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"30541"
"belgium"	"1999-01-01"	"Total"	"Residents"	"Other residents"	""	"20138"
"belgium"	"1999-01-01"	"Total"	"Non-residents"	""	""	"85642"
"belgium"	"2000-01-01"	"Total"	"Residents"	"Central bank"	""	"3095"
"belgium"	"2000-01-01"	"Total"	"Residents"	"OMFIs"	""	"121906"
"belgium"	"2000-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"28403"
"belgium"	"2000-01-01"	"Total"	"Residents"	"Other residents"	""	"19937"
"belgium"	"2000-01-01"	"Total"	"Non-residents"	""	""	"107618"
"belgium"	"2001-01-01"	"Total"	"Residents"	"Central bank"	""	"3047"
"belgium"	"2001-01-01"	"Total"	"Residents"	"OMFIs"	""	"113210"
"belgium"	"2001-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"27694"
"belgium"	"2001-01-01"	"Total"	"Residents"	"Other residents"	""	"20143"
"belgium"	"2001-01-01"	"Total"	"Non-residents"	""	""	"121962"
"belgium"	"2002-01-01"	"Total"	"Residents"	"Central bank"	""	"2865"
"belgium"	"2002-01-01"	"Total"	"Residents"	"OMFIs"	""	"103693"
"belgium"	"2002-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"26023"
"belgium"	"2002-01-01"	"Total"	"Residents"	"Other residents"	""	"19807"
"belgium"	"2002-01-01"	"Total"	"Non-residents"	""	""	"135722"
"belgium"	"2003-01-01"	"Total"	"Residents"	"Central bank"	""	"2863"
"belgium"	"2003-01-01"	"Total"	"Residents"	"OMFIs"	""	"98627"
"belgium"	"2003-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"24985"
"belgium"	"2003-01-01"	"Total"	"Residents"	"Other residents"	""	"18671"
"belgium"	"2003-01-01"	"Total"	"Non-residents"	""	""	"140721"
"belgium"	"2004-01-01"	"Total"	"Residents"	"Central bank"	""	"2853"
"belgium"	"2004-01-01"	"Total"	"Residents"	"OMFIs"	""	"95650"
"belgium"	"2004-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"26122"
"belgium"	"2004-01-01"	"Total"	"Residents"	"Other residents"	""	"19311"
"belgium"	"2004-01-01"	"Total"	"Non-residents"	""	""	"144482"
"belgium"	"2005-01-01"	"Total"	"Residents"	"Central bank"	""	"3220"
"belgium"	"2005-01-01"	"Total"	"Residents"	"OMFIs"	""	"94113"
"belgium"	"2005-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"27510"
"belgium"	"2005-01-01"	"Total"	"Residents"	"Other residents"	""	"19376"
"belgium"	"2005-01-01"	"Total"	"Non-residents"	""	""	"150757"
"belgium"	"2006-01-01"	"Total"	"Residents"	"Central bank"	""	"3459"
"belgium"	"2006-01-01"	"Total"	"Residents"	"OMFIs"	""	"92208"
"belgium"	"2006-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"28819"
"belgium"	"2006-01-01"	"Total"	"Residents"	"Other residents"	""	"18353"
"belgium"	"2006-01-01"	"Total"	"Non-residents"	""	""	"154655"
"belgium"	"2007-01-01"	"Total"	"Residents"	"Central bank"	""	"4584"
"belgium"	"2007-01-01"	"Total"	"Residents"	"OMFIs"	""	"77186"
"belgium"	"2007-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"28857"
"belgium"	"2007-01-01"	"Total"	"Residents"	"Other residents"	""	"17747"
"belgium"	"2007-01-01"	"Total"	"Non-residents"	""	""	"171689"
"belgium"	"2008-01-01"	"Total"	"Residents"	"Central bank"	""	"4891"
"belgium"	"2008-01-01"	"Total"	"Residents"	"OMFIs"	""	"80039"
"belgium"	"2008-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"32836"
"belgium"	"2008-01-01"	"Total"	"Residents"	"Other residents"	""	"18849"
"belgium"	"2008-01-01"	"Total"	"Non-residents"	""	""	"191069"
"belgium"	"2009-01-01"	"Total"	"Residents"	"Central bank"	""	"5163"
"belgium"	"2009-01-01"	"Total"	"Residents"	"OMFIs"	""	"85293"
"belgium"	"2009-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"43801"
"belgium"	"2009-01-01"	"Total"	"Residents"	"Other residents"	""	"19618"
"belgium"	"2009-01-01"	"Total"	"Non-residents"	""	""	"193349"
"belgium"	"2010-01-01"	"Total"	"Residents"	"Central bank"	""	"6319"
"belgium"	"2010-01-01"	"Total"	"Residents"	"OMFIs"	""	"92237"
"belgium"	"2010-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"49635"
"belgium"	"2010-01-01"	"Total"	"Residents"	"Other residents"	""	"19190"
"belgium"	"2010-01-01"	"Total"	"Non-residents"	""	""	"196752"
"belgium"	"2011-01-01"	"Total"	"Residents"	"Central bank"	""	"7437"
"belgium"	"2011-01-01"	"Total"	"Residents"	"OMFIs"	""	"105518"
"belgium"	"2011-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"70343"
"belgium"	"2011-01-01"	"Total"	"Residents"	"Other residents"	""	"25379"
"belgium"	"2011-01-01"	"Total"	"Non-residents"	""	""	"180429"
"belgium"	"2012-01-01"	"Total"	"Residents"	"Central bank"	""	"8365"
"belgium"	"2012-01-01"	"Total"	"Residents"	"OMFIs"	""	"108511"
"belgium"	"2012-01-01"	"Total"	"Residents"	"Other financial institutions"	""	"77634"
"belgium"	"2012-01-01"	"Total"	"Residents"	"Other residents"	""	"23066"
"belgium"	"2012-01-01"	"Total"	"Non-residents"	""	""	"187177"
"belgium"	"2013-01-01"	"Total"	"Residents"	"Central bank"	""	"8320"
