#{"manifestVersion":1,"columnDefinitions":[{"csvName":"Country","dbName":"country","csvIndex":0,"type":"text"},{"csvName":"Time","dbName":"time","csvIndex":1,"type":"text"},{"csvName":"category_1","dbName":"category_1","csvIndex":2,"type":"text"},{"csvName":"category_2","dbName":"category_2","csvIndex":3,"type":"text"},{"csvName":"category_3","dbName":"category_3","csvIndex":4,"type":"text"},{"csvName":"category_4","dbName":"category_4","csvIndex":5,"type":"text"},{"csvName":"value","dbName":"value","csvIndex":6,"type":"integer"}]}
"Country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"3327"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"11238"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"4999"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1389"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"General Government"	""	"19095"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"Households"	""	"2309"
"finnland"	"1997-10-01"	"Total"	"Domestic"	"NPISHs"	""	"54"
"finnland"	"1997-10-01"	"Total"	"Rest of the world"	""	""	"35142"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"7890"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"10516"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5339"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1522"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"General Government"	""	"19343"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"Households"	""	"2267"
"finnland"	"1998-01-01"	"Total"	"Domestic"	"NPISHs"	""	"55"
"finnland"	"1998-01-01"	"Total"	"Rest of the world"	""	""	"29262"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2242"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"9710"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"5709"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"3120"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"General Government"	""	"20053"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"Households"	""	"2224"
"finnland"	"1998-04-01"	"Total"	"Domestic"	"NPISHs"	""	"56"
"finnland"	"1998-04-01"	"Total"	"Rest of the world"	""	""	"34817"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"3489"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"10054"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6078"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"3398"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"General Government"	""	"20832"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"Households"	""	"2182"
"finnland"	"1998-07-01"	"Total"	"Domestic"	"NPISHs"	""	"55"
"finnland"	"1998-07-01"	"Total"	"Rest of the world"	""	""	"33427"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"3500"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"9848"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"0"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6467"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1942"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"General Government"	""	"22005"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"Households"	""	"2139"
"finnland"	"1998-10-01"	"Total"	"Domestic"	"NPISHs"	""	"56"
"finnland"	"1998-10-01"	"Total"	"Rest of the world"	""	""	"34844"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"2547"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"9612"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"37"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"6411"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1935"
"finnland"	"1999-01-01"	"Total"	"Domestic"	"General Government"	""	"20285"
